"user.assessmentUid","runId","user.grade","b-3-4-4","b-3-4-11","b-3-4-17","a-3-4-19","a-3-4-12","b-3-4-10","b-3-4-20","b-5-6-9","a-5-6-15","a-3-4-13","b-3-4-18","b-3-4-8","b-5-6-1","b-3-4-9","b-3-4-1","b-3-4-14","b-3-4-7","b-3-4-13","b-3-4-2","b-3-4-6","b-3-4-19","a-5-6-3","a-5-6-16","b-3-4-5","b-5-6-17","b-3-4-15","b-3-4-16","b-3-4-12","b-3-4-3","b-5-6-12","a-3-4-17","a-5-6-17","a-3-4-14","b-5-6-11","b-5-6-16","a-5-6-5","a-3-4-4","a-5-6-20","a-5-6-4","a-3-4-2","a-3-4-9","b-5-6-4","a-5-6-12","b-5-6-20","b-5-6-8","b-5-6-13","a-5-6-11","b-5-6-10","a-5-6-14","a-3-4-15","a-3-4-6","a-3-4-7","b-5-6-18","a-5-6-8","a-3-4-5","a-3-4-8","b-5-6-6","b-5-6-3","a-3-4-16","a-3-4-11","b-5-6-2","a-5-6-9","a-5-6-6","a-5-6-1","a-5-6-13","b-5-6-5","b-5-6-15","b-5-6-14","a-5-6-18","a-3-4-3","a-5-6-19","a-3-4-1","a-5-6-7","a-5-6-10","a-3-4-10","a-3-4-20","b-5-6-7","a-3-4-18","a-5-6-2","b-5-6-19","b-5-6-19m"
"wUEV9tB0XXdKBYYOPak7lPYFi6p2","ra4mzC8eOhBVRfeIBPOP","2","1","0","1","1","0","0","1","1","0","1","0","1","0","1","1","1","0","0","1","1","0","0","0","0","0","1","0","1","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"XulfpXNt9FSYQA3yid2ZjklepXu1","AywkZjXaoZwsrX4XYUJU","1","0","0","0",".",".","0","1",".",".",".","0","0",".","0","0","0","1","0","0","0","0",".","0","0",".","1","0","0","0","0","0","0","1","0","0","0","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"IVCzhrJ5HnQ96YhlRtpTYK2tdQh1","ArWtUFjkZtT0MFU2ExXW","2","0","0","1",".",".","1","1",".",".",".","1","1",".","1","1","1","1","0","1","1","1",".",".","0",".","0","0","0","1",".",".",".",".",".",".",".","1","1","1","1","1","0","1","0","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"aePftga11weMCkSO80nS82LyZFf2","70XnIRebon8zKNK7d0qJ","1","0","0","0",".","0","0","0",".",".",".","1","0",".","0","0","0","0","0","0","0","1",".","0","0","0","1","0","1","0",".",".",".","0",".",".",".",".",".",".",".",".",".",".",".",".","0","0","0","0","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"c35Tey6wVzX3utL6NZsNFA4mAj23","dxLsIuU0m0QDXPCFKjnT","2","1","1","1","0",".","1","0","1",".",".","0","1",".","0","1","0","1","1","1","0","0",".",".","1",".","1","0","1","1",".",".","0",".",".",".",".",".",".","0",".",".","0",".",".","1",".",".",".","0","1","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lak7KQ2BIUe6QNYYUQQVndt9A7o1","5JNueGcPFUZomkovxmbg","2","0","1","1",".",".","1","1",".",".",".","1","1",".","1","0","0","1","1","0","1","0","1","0","0",".","1","0","0","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","0",".",".",".",".",".","1","0","0","0","1","0",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"FxpOOhQMgycKuLdsWfwFRjEddZ33","sFLouI8FBx8JA0EFHEuY","1","0","1","1",".",".","0","0",".",".",".","0","0",".","0","1","0","0","0","0","1","0",".",".","0",".","0","0","0","1",".",".",".",".",".",".","1",".",".",".",".",".",".",".",".",".",".",".","0",".",".",".",".",".","0","1",".",".","0","1","0","0","0",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"WWK9n4YJxcgxFKe07M6wJAEuInD2","QVOq4R2bnXZZ9TfyGkdP","2","1","0","0",".",".","1","0",".",".",".","0","1",".","1","0","1","1","0","1","1","0",".",".","1",".","1","0","0","0","1",".",".",".",".",".",".",".","1",".","1",".",".",".","1",".",".",".",".",".",".",".","1",".",".",".",".",".",".","0",".","0",".","1","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"akZPaD97c5f9iqPmAcFxQM9lKWC3","D9DUJQuOHfJ4NJ7qiN9o","2","0","0","0",".",".","0","1","1",".","0","0","0",".","0","1","0","0","0","1","0","0",".",".","0",".","0","0","0","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","1","0",".",".",".",".","0",".","1",".",".","1",".",".",".",".",".","0","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"x94FlMmQ1rc0wjTAT2dCz4V5uKI3","L0fFNTTQP467VX6GcrDR","8","1","1","1",".","1","1","1","1",".","1","1","1",".","1","1","1","1","1","1","1","1",".",".","0",".","1","0","1","1",".",".",".",".",".",".",".",".",".",".","1",".",".",".",".",".",".","1",".",".",".",".",".",".","1",".",".",".",".",".",".",".",".",".",".",".",".","1","1","1",".",".",".",".",".",".",".",".",".",".",".","."
"KwDtYdXAy8d1N4oINStWyxAXzos2","vMXLXpe6ImeHrWQeF84J","2","0","1","1",".",".","0","0",".","1",".","1","0",".","0","1","0","0","0","1","1","1",".",".","0",".","0","0","1","0","1","0",".",".",".",".",".",".","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","0","0","0",".",".",".",".",".",".",".",".",".",".",".","0","1",".",".",".",".",".",".",".",".",".","."
"aVBYDpf7Yvf1QSwR8JBcc1lqnMF2","xQ7MIimxYf92XdtMBqud","3","1","1","1","1",".","1","1",".",".",".","1","1",".","1","1","1","1","1","1","1","1",".",".","1",".","1","0","1","1",".",".",".",".",".",".",".",".",".","1",".",".","1",".",".","0",".",".",".",".",".",".",".",".",".",".",".","1",".","0",".",".",".",".",".",".",".",".",".","1",".",".","0","0",".",".",".",".",".",".",".","."
